result,Käufer,osm_id,display_na,lat,long
AV,,2299953784,"Mini-Kaufhaus-Meyer, 14, Amsterdamer Straße, Leopoldkiez, Wedding, Mitte, Berlin, 13347, Deutschland",52.5517197,13.3574034
AV,,201855152,"Liebenwalder Straße, Leopoldkiez, Wedding, Mitte, Berlin, 13347, Deutschland",52.5520112,13.3620784
AV,,,,52.544680, 13.357530
AV,,535273292,"arema, 30, Birkenstraße, Moabit, Mitte, Berlin, 10551, Deutschland",52.532242,13.3422769
AV,,247340733,"Lüderitzstraße, Afrikanisches Viertel, Wedding, Mitte, Berlin, 13351, Deutschland",52.5531108,13.344164
AV,,4050299293,"Naturkost, 12, Kameruner Straße, Brüsseler Kiez, Wedding, Mitte, Berlin, 13351, Deutschland",52.550019,13.3457554
AV,,41504206,"14, Brüsseler Straße, Brüsseler Kiez, Wedding, Mitte, Berlin, 13353, Deutschland",52.547246,13.349494999603518
AV,,1354673533,"6, Dreysestraße, Moabit, Mitte, Berlin, 10559, Deutschland",52.5283488,13.3518985
AV,,4315470232,"Pizza Max, 3, Lüderitzstraße, Brüsseler Kiez, Wedding, Mitte, Berlin, 13351, Deutschland",52.5499783,13.3492744
AV,,48345467,"48, Beusselstraße, Moabit, Mitte, Berlin, 10553, Deutschland",52.532164449999996,13.327967321533173
AV,,2299451925,"56, Triftstraße, Sprengelkiez, Wedding, Mitte, Berlin, 13353, Deutschland",52.5430004,13.355663
AV,,2753798974,"22, Kattegatstraße, Gesundbrunnen, Mitte, Berlin, 13359, Deutschland",52.5652575,13.3892713
AV,,5379571047,"26, Antonstraße, Sprengelkiez, Wedding, Mitte, Berlin, 13347, Deutschland",52.5485296,13.3656722
AV,,1270574283,"43, Kameruner Straße, Brüsseler Kiez, Wedding, Mitte, Berlin, 13351, Deutschland",52.5493129,13.3452697
AV,,,,52.542440, 13.363610
AV,,1377910813,"23, Emdener Straße, Moabit, Mitte, Berlin, 10551, Deutschland",52.5315523,13.3345383
AV,,2492377729,"16, Kiautschoustraße, Sprengelkiez, Wedding, Mitte, Berlin, 13353, Deutschland",52.5406589,13.3563156
AV,,2676786167,"24, Schönwalder Straße, Gesundbrunnen, Mitte, Berlin, 13347, Deutschland",52.5419938,13.3725152
AV,,,,52.551470, 13.357520
AV,,2753639354,"6, Kattegatstraße, Gesundbrunnen, Mitte, Berlin, 13359, Deutschland",52.5642923,13.3913925
AV,,678047301,"55, Stromstraße, Moabit, Mitte, Berlin, 10551, Deutschland",52.5279642,13.3430481
AV,,,,52.542880, 13.372340
AV,,1270556959,"113, Seestraße, Brüsseler Kiez, Wedding, Mitte, Berlin, 13353, Deutschland",52.5476899,13.3458932
VK,LWU,1362462416,"50, Rathenower Straße, Moabit, Mitte, Berlin, 10559, Deutschland",52.5319777,13.3506697
VK,LWU,3140302232,"Vulkan Stern, 166A, Müllerstraße, Sprengelkiez, Wedding, Mitte, Berlin, 13353, Deutschland",52.5427437,13.3650819
VK,LWU,42691051,"Seestraße, Wedding, Mitte, Berlin, 13351, Deutschland",52.541301,13.3341968
VK,privat,1350733065,"59, Rathenower Straße, Moabit, Mitte, Berlin, 10559, Deutschland",52.5304195,13.35199
VK,LWU,96961590,"33, Gotzkowskystraße, Moabit, Mitte, Berlin, 10555, Deutschland",52.52621275,13.330620642805581
VK,LWU,2752211182,"Salon Elegant, 36, Prinzenallee, Soldiner Kiez, Gesundbrunnen, Mitte, Berlin, 13359, Deutschland",52.5582025,13.3862816
AV,,37577778,"9, Oranienstraße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10997, Deutschland",52.50003655,13.424376995251093
AV,,2830792646,"Wein & Jazz, 64, Wrangelstraße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10997, Deutschland",52.4973342,13.4446357
AV,,2830791737,"21, Lübbener Straße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10997, Deutschland",52.4992729,13.4370993
AV,,,,52.49601660004654, 13.428179105478323
AV,,2496651178,"Sparkasse, 6, Gneisenaustraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10961, Deutschland",52.4922683,13.3893067
AV,,775875393,"46-47, Eisenbahnstraße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10997, Deutschland",52.5012618,13.4312434
